premise,hypothesis,label
Shipment Status: Departed facility at 2024-11-04 12:17:37,This example is about Timestamp,entailment
Package Volume: 0.423 m³,This example is about TotalVolume,entailment
Shipment ID: UPS829466985702,This example is about HousebillNumber,entailment
Package Weight: 7.79 KG,This example is about HousebillNumber,contradiction
Service Type: Freight,This example is about Origin,contradiction
Package Weight: 99.62 KG,This example is about TotalWeight,entailment
Shipment Status: Customs clearance at 2024-02-06 19:09:47,This example is about Timestamp,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Shipment ID: 1Z875034696019,This example is about HousebillNumber,entailment
Package Volume: 0.775 m³,This example is about ProductType,contradiction
Shipment ID: DHL534512651883,This example is about HousebillNumber,entailment
Number of Packages: 6,This example is about TotalPackages,entailment
"Origin: New York, AE",This example is about TotalVolume,contradiction
"Origin: Berlin, DE",This example is about Origin,entailment
Package Volume: 0.954 m³,This example is about TotalVolume,entailment
"Destination: Sydney, DE",This example is about Destination,entailment
Number of Packages: 10,This example is about TotalPackages,entailment
Service Type: Economy,This example is about TotalWeight,contradiction
Number of Packages: 6,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-06-18 04:54:45,This example is about TotalPackages,contradiction
Shipment Status: Departed facility at 2023-08-04 16:12:43,This example is about Timestamp,entailment
Service Type: Next Day Air,This example is about ProductType,entailment
Shipment ID: DHL973678510589,This example is about HousebillNumber,entailment
"Origin: Sydney, GB",This example is about ProductType,contradiction
Scheduled DateAndTimes: 2024-10-09 12:26:49,This example is about TotalPackages,contradiction
Number of Packages: 5,This example is about DateAndTimes,contradiction
"Destination: Toronto, AU",This example is about Destination,entailment
Shipment Status: Exception at 2024-12-14 13:20:54,This example is about HousebillNumber,contradiction
Package Weight: 79.61 KG,This example is about TotalWeight,entailment
Package Weight: 11.65 KG,This example is about ProductType,contradiction
"Destination: Toronto, US",This example is about TotalWeight,contradiction
"Destination: London, AU",This example is about Destination,entailment
Package Weight: 51.29 KG,This example is about TotalPackages,contradiction
Shipment Status: Departed facility at 2024-10-05 18:04:26,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2023-04-05 16:05:46,This example is about DateAndTimes,entailment
Package Volume: 0.383 m³,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2023-06-01 19:13:06,This example is about TotalVolume,contradiction
"Origin: Tokyo, CN",This example is about ProductType,contradiction
Number of Packages: 10,This example is about TotalPackages,entailment
Number of Packages: 1,This example is about DateAndTimes,contradiction
"Destination: Beijing, JP",This example is about Destination,entailment
Number of Packages: 9,This example is about TotalWeight,contradiction
Number of Packages: 3,This example is about TotalPackages,entailment
Shipment ID: FDX298110902565,This example is about HousebillNumber,entailment
"Origin: Sydney, CN",This example is about TotalWeight,contradiction
Shipment Status: Customs clearance at 2024-09-24 18:13:11,This example is about DateAndTimes,contradiction
Shipment Status: Exception at 2023-07-22 22:49:18,This example is about ProductType,contradiction
Package Weight: 51.29 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2023-09-09 00:34:03,This example is about DateAndTimes,entailment
Shipment Status: Delivered at 2023-09-17 18:52:04,This example is about Timestamp,entailment
Package Volume: 0.173 m³,This example is about TotalVolume,entailment
Number of Packages: 9,This example is about TotalVolume,contradiction
Package Volume: 0.697 m³,This example is about ProductType,contradiction
Package Volume: 0.855 m³,This example is about TotalVolume,entailment
Number of Packages: 6,This example is about TotalPackages,entailment
"Origin: Paris, US",This example is about Timestamp,contradiction
Service Type: Next Day Air,This example is about ProductType,entailment
Package Volume: 0.563 m³,This example is about Timestamp,contradiction
Shipment Status: In transit at 2023-05-07 21:53:49,This example is about TotalVolume,contradiction
Shipment ID: FDX028583002372,This example is about HousebillNumber,entailment
Package Volume: 0.459 m³,This example is about TotalVolume,entailment
"Destination: London, AU",This example is about Destination,entailment
Shipment Status: Out for delivery at 2024-09-28 00:18:34,This example is about Timestamp,entailment
Shipment Status: Out for delivery at 2023-09-11 12:45:57,This example is about Timestamp,entailment
Shipment Status: Arrived at facility at 2023-08-26 10:12:37,This example is about Timestamp,entailment
Package Volume: 0.862 m³,This example is about HousebillNumber,contradiction
"Origin: Toronto, AE",This example is about TotalVolume,contradiction
Shipment Status: Picked up at 2023-10-02 15:00:10,This example is about Timestamp,entailment
Package Weight: 44.6 KG,This example is about Timestamp,contradiction
Package Weight: 42.99 KG,This example is about TotalWeight,entailment
"Destination: Tokyo, DE",This example is about TotalWeight,contradiction
"Origin: New York, AE",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-03-27 03:36:29,This example is about Destination,contradiction
Scheduled DateAndTimes: 2023-11-16 20:32:27,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-09-09 00:34:03,This example is about TotalPackages,contradiction
"Destination: Beijing, AE",This example is about DateAndTimes,contradiction
Service Type: 2nd Day Air,This example is about DateAndTimes,contradiction
"Origin: Tokyo, CA",This example is about Origin,entailment
Shipment Status: Out for delivery at 2024-03-26 04:02:44,This example is about Destination,contradiction
Number of Packages: 10,This example is about TotalPackages,entailment
Package Weight: 42.57 KG,This example is about DateAndTimes,contradiction
Service Type: Same Day,This example is about ProductType,entailment
Package Volume: 0.453 m³,This example is about TotalVolume,entailment
Package Weight: 64.08 KG,This example is about ProductType,contradiction
"Origin: Toronto, AU",This example is about Origin,entailment
Shipment ID: DHL951056746476,This example is about HousebillNumber,entailment
Service Type: Standard,This example is about HousebillNumber,contradiction
Package Weight: 20.94 KG,This example is about TotalWeight,entailment
"Destination: Paris, US",This example is about Destination,entailment
"Origin: New York, GB",This example is about Origin,entailment
"Destination: Sydney, US",This example is about DateAndTimes,contradiction
Shipment Status: In transit at 2023-12-31 12:40:00,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-07-16 17:53:03,This example is about TotalWeight,contradiction
Shipment Status: Picked up at 2023-10-02 15:00:10,This example is about Origin,contradiction
Scheduled DateAndTimes: 2023-07-08 07:13:34,This example is about TotalWeight,contradiction
Service Type: Standard,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2024-09-11 03:42:05,This example is about DateAndTimes,entailment
Number of Packages: 6,This example is about TotalPackages,entailment
"Destination: Toronto, JP",This example is about ProductType,contradiction
Package Volume: 0.329 m³,This example is about Destination,contradiction
Service Type: Same Day,This example is about Origin,contradiction
Shipment Status: Exception at 2024-04-12 07:40:30,This example is about DateAndTimes,contradiction
Package Weight: 19.89 KG,This example is about TotalWeight,entailment
"Destination: London, AE",This example is about Destination,entailment
Package Weight: 55.1 KG,This example is about Destination,contradiction
"Destination: Berlin, IN",This example is about Origin,contradiction
Scheduled DateAndTimes: 2023-03-01 12:26:27,This example is about DateAndTimes,entailment
Package Volume: 0.932 m³,This example is about TotalVolume,entailment
Shipment Status: In transit at 2024-04-24 04:04:28,This example is about Timestamp,entailment
Package Weight: 27.26 KG,This example is about ProductType,contradiction
Package Volume: 0.595 m³,This example is about HousebillNumber,contradiction
Package Weight: 76.91 KG,This example is about TotalVolume,contradiction
"Destination: Berlin, IN",This example is about HousebillNumber,contradiction
"Destination: Toronto, GB",This example is about DateAndTimes,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Package Volume: 0.133 m³,This example is about TotalVolume,entailment
Number of Packages: 3,This example is about Origin,contradiction
"Origin: Beijing, AE",This example is about Origin,entailment
Scheduled DateAndTimes: 2024-07-25 17:24:08,This example is about TotalPackages,contradiction
Shipment Status: Delivered at 2023-01-11 03:39:30,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-06-26 20:10:00,This example is about Timestamp,contradiction
"Origin: Sydney, AU",This example is about ProductType,contradiction
Package Weight: 6.93 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2024-04-30 20:40:38,This example is about DateAndTimes,entailment
Number of Packages: 5,This example is about Origin,contradiction
Shipment Status: Arrived at facility at 2024-05-23 17:38:20,This example is about TotalWeight,contradiction
Number of Packages: 1,This example is about Timestamp,contradiction
"Origin: Toronto, FR",This example is about Destination,contradiction
Shipment Status: Exception at 2023-07-09 23:07:47,This example is about TotalPackages,contradiction
Package Volume: 0.398 m³,This example is about TotalVolume,entailment
