premise,hypothesis,label
Package Weight: 1.25 KG,This example is about TotalWeight,entailment
Package Volume: 0.754 m³,This example is about TotalVolume,entailment
Number of Packages: 8,This example is about Destination,contradiction
Package Volume: 0.938 m³,This example is about TotalVolume,entailment
Shipment Status: Departed facility at 2023-10-21 11:35:44,This example is about Origin,contradiction
Scheduled DateAndTimes: 2023-02-01 15:21:49,This example is about DateAndTimes,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
Package Volume: 0.421 m³,This example is about TotalVolume,entailment
Package Volume: 0.878 m³,This example is about TotalVolume,entailment
"Destination: Beijing, CA",This example is about Timestamp,contradiction
Package Volume: 0.655 m³,This example is about TotalVolume,entailment
Shipment Status: Picked up at 2024-10-12 11:08:44,This example is about Timestamp,entailment
"Destination: Toronto, US",This example is about HousebillNumber,contradiction
Package Weight: 24.93 KG,This example is about TotalVolume,contradiction
Shipment Status: Exception at 2023-06-12 13:33:04,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-06-23 21:50:04,This example is about DateAndTimes,entailment
"Destination: Toronto, US",This example is about DateAndTimes,contradiction
"Origin: Dubai, AU",This example is about HousebillNumber,contradiction
Service Type: Freight,This example is about ProductType,entailment
Number of Packages: 3,This example is about TotalPackages,entailment
Shipment ID: DHL848352561641,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2024-10-02 09:46:56,This example is about Timestamp,contradiction
Shipment Status: Arrived at facility at 2023-01-17 06:13:49,This example is about Timestamp,entailment
Number of Packages: 7,This example is about TotalPackages,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
"Destination: Toronto, DE",This example is about Destination,entailment
Scheduled DateAndTimes: 2024-07-14 16:42:54,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-08-13 02:41:01,This example is about TotalVolume,contradiction
Shipment Status: Exception at 2024-05-10 09:40:22,This example is about ProductType,contradiction
Service Type: Ground,This example is about DateAndTimes,contradiction
Package Weight: 85.3 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2023-02-28 15:45:20,This example is about TotalWeight,contradiction
Package Volume: 0.438 m³,This example is about TotalVolume,entailment
Package Volume: 0.421 m³,This example is about TotalVolume,entailment
"Origin: Dubai, DE",This example is about Origin,entailment
Package Volume: 0.721 m³,This example is about TotalVolume,entailment
Package Volume: 0.887 m³,This example is about Destination,contradiction
Package Weight: 48.64 KG,This example is about TotalWeight,entailment
Shipment ID: 1Z709590737910,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2024-11-01 21:57:52,This example is about TotalWeight,contradiction
Shipment Status: Exception at 2024-10-18 18:25:32,This example is about Timestamp,entailment
Number of Packages: 10,This example is about HousebillNumber,contradiction
Package Volume: 0.377 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2024-02-29 17:20:28,This example is about DateAndTimes,entailment
"Destination: Dubai, CN",This example is about Destination,entailment
Number of Packages: 3,This example is about TotalPackages,entailment
Service Type: 2nd Day Air,This example is about HousebillNumber,contradiction
Number of Packages: 10,This example is about Origin,contradiction
"Destination: Berlin, JP",This example is about Destination,entailment
"Origin: New York, JP",This example is about Origin,entailment
Package Weight: 73.28 KG,This example is about HousebillNumber,contradiction
Package Weight: 32.79 KG,This example is about TotalWeight,entailment
Service Type: Ground,This example is about ProductType,entailment
Package Weight: 54.87 KG,This example is about TotalWeight,entailment
"Destination: New York, AE",This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2023-04-23 20:53:15,This example is about DateAndTimes,entailment
"Origin: Paris, AE",This example is about Origin,entailment
Service Type: Economy,This example is about TotalVolume,contradiction
Package Weight: 40.75 KG,This example is about TotalWeight,entailment
"Origin: Sydney, CA",This example is about Origin,entailment
Scheduled DateAndTimes: 2024-05-08 00:02:12,This example is about DateAndTimes,entailment
Shipment ID: FDX052782206847,This example is about HousebillNumber,entailment
"Origin: Tokyo, CN",This example is about Timestamp,contradiction
Number of Packages: 3,This example is about TotalPackages,entailment
"Origin: New York, US",This example is about Origin,entailment
"Origin: Sydney, FR",This example is about TotalPackages,contradiction
